time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
7,0.084,0.084,0.085,0.084,0.085,0.083,0.085,0.083,0.082,0.084,0.083,0.087,0.081,0.084,0.09,0.088,0.091,0.086,0.088,0.086,0.089,0.107,0.088,0.082,0.082,0.088,0.086,0.089,0.088,0.088,0.088,0.091,0.087,0.089,0.086,0.082,0.081,0.086,0.085,0.088,0.086,0.086,0.087,0.085,0.09,0.088,0.087,0.084,0.082,0.087,0.087,0.087,0.088,0.087,0.087,0.088,0.086,0.085,0.083,0.082,0.083,0.084,0.087,0.085,0.086,0.089,0.086,0.092,0.086,0.088,0.088,0.082,0.082,0.087,0.089,0.086,0.085,0.088,0.088,0.087,0.087,0.088,0.086,0.082,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.082,0.084,0.084,0.082
7.5,0.084,0.084,0.086,0.084,0.085,0.083,0.085,0.083,0.082,0.084,0.083,0.087,0.081,0.084,0.091,0.089,0.092,0.086,0.089,0.087,0.09,0.108,0.089,0.082,0.082,0.09,0.086,0.09,0.088,0.089,0.089,0.091,0.087,0.09,0.087,0.082,0.081,0.087,0.085,0.09,0.087,0.086,0.087,0.085,0.091,0.089,0.088,0.085,0.082,0.088,0.088,0.089,0.088,0.087,0.088,0.089,0.086,0.085,0.083,0.082,0.083,0.085,0.088,0.085,0.087,0.09,0.086,0.094,0.087,0.089,0.089,0.082,0.082,0.088,0.091,0.087,0.086,0.089,0.089,0.087,0.088,0.089,0.086,0.082,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.082,0.084,0.084,0.082
8,0.084,0.084,0.085,0.084,0.085,0.083,0.085,0.084,0.082,0.084,0.083,0.087,0.081,0.084,0.092,0.09,0.094,0.086,0.09,0.087,0.092,0.109,0.09,0.082,0.082,0.091,0.086,0.091,0.088,0.09,0.089,0.093,0.087,0.091,0.088,0.082,0.082,0.088,0.085,0.091,0.089,0.086,0.088,0.085,0.093,0.09,0.089,0.084,0.082,0.089,0.09,0.091,0.09,0.088,0.089,0.09,0.086,0.085,0.083,0.082,0.083,0.085,0.089,0.085,0.088,0.091,0.086,0.095,0.088,0.09,0.091,0.082,0.082,0.089,0.093,0.088,0.086,0.09,0.09,0.087,0.089,0.09,0.086,0.082,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.082,0.084,0.084,0.082
8.5,0.084,0.084,0.085,0.084,0.085,0.083,0.085,0.084,0.082,0.084,0.083,0.087,0.081,0.084,0.093,0.09,0.096,0.086,0.091,0.087,0.093,0.11,0.091,0.082,0.082,0.093,0.086,0.092,0.088,0.092,0.09,0.094,0.087,0.093,0.089,0.082,0.081,0.089,0.085,0.093,0.09,0.086,0.089,0.085,0.095,0.091,0.09,0.084,0.082,0.091,0.091,0.093,0.091,0.089,0.09,0.092,0.086,0.085,0.083,0.082,0.083,0.085,0.09,0.085,0.09,0.093,0.086,0.097,0.09,0.091,0.092,0.082,0.082,0.09,0.095,0.089,0.086,0.091,0.092,0.087,0.09,0.091,0.086,0.083,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.082,0.084,0.084,0.082
9,0.084,0.084,0.085,0.084,0.085,0.083,0.085,0.083,0.082,0.084,0.083,0.087,0.081,0.084,0.094,0.092,0.098,0.086,0.093,0.086,0.095,0.111,0.092,0.082,0.082,0.095,0.086,0.094,0.088,0.093,0.092,0.095,0.087,0.095,0.09,0.082,0.081,0.091,0.085,0.095,0.092,0.086,0.091,0.085,0.097,0.093,0.092,0.084,0.082,0.092,0.093,0.095,0.092,0.091,0.092,0.094,0.086,0.085,0.083,0.082,0.083,0.084,0.091,0.085,0.091,0.095,0.086,0.1,0.091,0.093,0.093,0.082,0.082,0.092,0.097,0.091,0.085,0.093,0.094,0.087,0.092,0.092,0.085,0.082,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.082,0.084,0.084,0.083
9.5,0.084,0.084,0.086,0.084,0.086,0.084,0.085,0.084,0.083,0.084,0.083,0.087,0.082,0.084,0.096,0.093,0.101,0.086,0.094,0.087,0.098,0.113,0.095,0.082,0.082,0.099,0.086,0.096,0.088,0.095,0.094,0.098,0.088,0.097,0.091,0.082,0.082,0.092,0.085,0.097,0.094,0.086,0.093,0.085,0.1,0.095,0.094,0.085,0.083,0.094,0.095,0.098,0.094,0.093,0.094,0.097,0.086,0.085,0.084,0.082,0.083,0.085,0.093,0.085,0.094,0.098,0.086,0.103,0.093,0.095,0.095,0.082,0.082,0.094,0.1,0.093,0.086,0.094,0.097,0.087,0.094,0.094,0.086,0.083,0.084,0.083,0.085,0.083,0.084,0.084,0.083,0.084,0.083,0.085,0.084,0.083
10,0.084,0.084,0.085,0.084,0.085,0.083,0.085,0.083,0.082,0.083,0.083,0.087,0.082,0.084,0.098,0.094,0.102,0.086,0.096,0.087,0.1,0.115,0.096,0.082,0.082,0.1,0.086,0.097,0.088,0.097,0.096,0.099,0.087,0.1,0.093,0.082,0.081,0.094,0.085,0.099,0.096,0.086,0.093,0.085,0.102,0.097,0.096,0.084,0.082,0.096,0.097,0.1,0.096,0.093,0.096,0.099,0.086,0.085,0.083,0.082,0.083,0.084,0.094,0.085,0.095,0.1,0.086,0.105,0.095,0.097,0.097,0.082,0.082,0.096,0.102,0.095,0.085,0.097,0.099,0.087,0.096,0.095,0.086,0.082,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.082,0.084,0.084,0.082
10.5,0.084,0.084,0.085,0.084,0.085,0.084,0.085,0.084,0.082,0.084,0.083,0.087,0.081,0.084,0.1,0.095,0.105,0.086,0.098,0.087,0.102,0.117,0.099,0.082,0.082,0.103,0.086,0.1,0.088,0.1,0.098,0.102,0.087,0.102,0.094,0.082,0.082,0.097,0.085,0.102,0.098,0.086,0.095,0.085,0.105,0.1,0.099,0.084,0.083,0.099,0.1,0.102,0.098,0.095,0.098,0.101,0.086,0.085,0.083,0.082,0.083,0.085,0.095,0.085,0.098,0.103,0.086,0.107,0.097,0.1,0.099,0.082,0.082,0.099,0.105,0.097,0.085,0.099,0.102,0.087,0.098,0.096,0.086,0.083,0.083,0.083,0.085,0.083,0.084,0.084,0.083,0.084,0.082,0.084,0.084,0.083
11,0.084,0.084,0.085,0.084,0.085,0.084,0.085,0.083,0.082,0.084,0.083,0.087,0.081,0.084,0.102,0.096,0.107,0.086,0.1,0.087,0.104,0.119,0.101,0.082,0.083,0.105,0.086,0.102,0.088,0.102,0.1,0.104,0.087,0.105,0.095,0.082,0.082,0.099,0.085,0.104,0.1,0.086,0.095,0.085,0.107,0.101,0.102,0.084,0.083,0.101,0.102,0.104,0.1,0.095,0.1,0.104,0.086,0.085,0.084,0.082,0.083,0.085,0.096,0.085,0.1,0.105,0.086,0.109,0.1,0.102,0.102,0.082,0.082,0.101,0.107,0.099,0.086,0.101,0.104,0.087,0.1,0.097,0.086,0.083,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.082,0.084,0.084,0.083
11.5,0.084,0.084,0.085,0.084,0.085,0.084,0.085,0.083,0.082,0.083,0.083,0.087,0.082,0.084,0.104,0.096,0.108,0.086,0.102,0.087,0.106,0.121,0.102,0.082,0.082,0.106,0.086,0.104,0.088,0.104,0.102,0.105,0.087,0.106,0.095,0.082,0.082,0.1,0.085,0.106,0.102,0.086,0.095,0.085,0.109,0.103,0.103,0.084,0.083,0.102,0.104,0.106,0.102,0.096,0.102,0.106,0.086,0.085,0.084,0.082,0.083,0.084,0.096,0.085,0.102,0.107,0.086,0.111,0.101,0.104,0.103,0.082,0.082,0.102,0.108,0.101,0.086,0.102,0.106,0.087,0.102,0.097,0.085,0.082,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.082,0.084,0.084,0.083
12,0.084,0.084,0.085,0.084,0.085,0.084,0.085,0.084,0.083,0.084,0.083,0.087,0.082,0.084,0.105,0.097,0.11,0.086,0.104,0.087,0.108,0.123,0.104,0.083,0.083,0.108,0.086,0.105,0.088,0.106,0.103,0.107,0.087,0.108,0.095,0.082,0.082,0.102,0.085,0.108,0.103,0.086,0.096,0.085,0.11,0.105,0.105,0.085,0.083,0.103,0.106,0.107,0.103,0.096,0.103,0.108,0.086,0.085,0.084,0.082,0.083,0.085,0.097,0.085,0.103,0.109,0.086,0.113,0.102,0.106,0.104,0.082,0.083,0.104,0.11,0.102,0.086,0.104,0.109,0.087,0.104,0.097,0.086,0.083,0.084,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.083,0.084,0.084,0.083
12.5,0.085,0.084,0.086,0.084,0.085,0.084,0.085,0.084,0.083,0.084,0.083,0.088,0.082,0.084,0.106,0.097,0.112,0.086,0.106,0.087,0.11,0.124,0.105,0.083,0.083,0.11,0.086,0.106,0.088,0.108,0.105,0.108,0.088,0.11,0.096,0.083,0.082,0.103,0.085,0.11,0.104,0.086,0.096,0.085,0.112,0.106,0.106,0.085,0.083,0.105,0.107,0.109,0.105,0.096,0.105,0.11,0.086,0.086,0.084,0.082,0.084,0.085,0.097,0.085,0.104,0.111,0.086,0.114,0.104,0.107,0.105,0.083,0.083,0.106,0.112,0.104,0.086,0.105,0.11,0.087,0.105,0.098,0.086,0.083,0.084,0.083,0.085,0.083,0.084,0.084,0.084,0.084,0.083,0.084,0.084,0.083
13,0.085,0.084,0.086,0.084,0.086,0.084,0.085,0.084,0.083,0.084,0.083,0.088,0.082,0.084,0.107,0.097,0.113,0.086,0.108,0.087,0.112,0.125,0.106,0.082,0.083,0.111,0.086,0.107,0.089,0.109,0.106,0.109,0.087,0.112,0.095,0.083,0.082,0.104,0.085,0.111,0.105,0.087,0.096,0.085,0.113,0.107,0.107,0.085,0.083,0.105,0.109,0.11,0.106,0.096,0.106,0.112,0.086,0.086,0.084,0.082,0.083,0.085,0.097,0.085,0.106,0.113,0.086,0.116,0.105,0.109,0.106,0.083,0.083,0.107,0.113,0.104,0.086,0.105,0.112,0.087,0.106,0.098,0.086,0.083,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.084,0.083,0.085,0.084,0.083
13.5,0.085,0.084,0.086,0.084,0.085,0.084,0.085,0.084,0.082,0.084,0.083,0.088,0.082,0.084,0.107,0.097,0.114,0.086,0.109,0.087,0.114,0.125,0.107,0.083,0.083,0.112,0.086,0.107,0.088,0.11,0.105,0.108,0.088,0.114,0.095,0.083,0.082,0.105,0.085,0.113,0.105,0.086,0.096,0.085,0.115,0.107,0.109,0.085,0.083,0.105,0.11,0.111,0.106,0.096,0.106,0.114,0.086,0.085,0.084,0.082,0.083,0.085,0.097,0.085,0.106,0.115,0.086,0.117,0.105,0.111,0.106,0.083,0.083,0.109,0.114,0.105,0.086,0.106,0.114,0.087,0.107,0.098,0.086,0.083,0.084,0.083,0.085,0.083,0.084,0.084,0.083,0.084,0.083,0.085,0.084,0.083
14,0.085,0.084,0.085,0.084,0.086,0.084,0.086,0.084,0.083,0.084,0.084,0.088,0.082,0.084,0.108,0.097,0.115,0.086,0.11,0.087,0.115,0.126,0.107,0.083,0.083,0.114,0.086,0.108,0.089,0.112,0.106,0.108,0.087,0.115,0.095,0.083,0.082,0.105,0.085,0.115,0.105,0.087,0.096,0.086,0.116,0.107,0.11,0.085,0.083,0.105,0.112,0.113,0.107,0.096,0.106,0.115,0.086,0.086,0.084,0.082,0.084,0.085,0.097,0.086,0.106,0.117,0.087,0.118,0.105,0.112,0.106,0.083,0.083,0.11,0.116,0.106,0.086,0.106,0.115,0.087,0.107,0.098,0.086,0.083,0.084,0.083,0.085,0.084,0.084,0.085,0.083,0.085,0.083,0.085,0.085,0.083
14.5,0.085,0.084,0.086,0.084,0.085,0.084,0.086,0.084,0.083,0.084,0.083,0.088,0.082,0.084,0.108,0.097,0.117,0.086,0.112,0.087,0.117,0.126,0.107,0.083,0.083,0.116,0.086,0.107,0.088,0.114,0.106,0.108,0.088,0.116,0.095,0.083,0.082,0.105,0.085,0.116,0.105,0.087,0.096,0.085,0.118,0.107,0.112,0.085,0.083,0.105,0.113,0.115,0.106,0.096,0.105,0.117,0.086,0.085,0.084,0.082,0.084,0.085,0.097,0.085,0.105,0.118,0.087,0.12,0.105,0.114,0.106,0.083,0.083,0.112,0.117,0.105,0.086,0.106,0.117,0.087,0.106,0.098,0.086,0.083,0.084,0.083,0.085,0.083,0.084,0.084,0.083,0.085,0.083,0.085,0.084,0.083
15,0.084,0.084,0.085,0.084,0.085,0.084,0.085,0.084,0.083,0.084,0.083,0.088,0.082,0.084,0.107,0.097,0.119,0.086,0.114,0.087,0.118,0.125,0.107,0.083,0.083,0.117,0.086,0.107,0.088,0.115,0.105,0.108,0.087,0.118,0.095,0.083,0.082,0.105,0.085,0.117,0.105,0.086,0.096,0.085,0.12,0.106,0.113,0.085,0.083,0.105,0.114,0.116,0.106,0.096,0.105,0.118,0.086,0.085,0.084,0.082,0.084,0.085,0.097,0.085,0.105,0.119,0.086,0.122,0.105,0.115,0.106,0.082,0.083,0.113,0.119,0.105,0.086,0.105,0.118,0.087,0.106,0.098,0.086,0.083,0.084,0.083,0.084,0.083,0.084,0.084,0.084,0.084,0.083,0.085,0.084,0.083
15.5,0.085,0.084,0.086,0.084,0.086,0.084,0.086,0.084,0.083,0.084,0.084,0.088,0.082,0.084,0.108,0.097,0.12,0.086,0.115,0.087,0.12,0.126,0.107,0.083,0.083,0.119,0.086,0.107,0.089,0.118,0.106,0.108,0.088,0.12,0.095,0.083,0.083,0.105,0.085,0.118,0.105,0.087,0.095,0.086,0.12,0.107,0.115,0.085,0.083,0.105,0.117,0.117,0.106,0.096,0.105,0.12,0.086,0.086,0.084,0.083,0.084,0.085,0.097,0.085,0.105,0.121,0.086,0.123,0.105,0.117,0.106,0.083,0.083,0.115,0.121,0.105,0.086,0.106,0.12,0.088,0.106,0.098,0.086,0.083,0.084,0.083,0.085,0.083,0.085,0.085,0.084,0.085,0.083,0.085,0.084,0.084
16,0.085,0.084,0.086,0.084,0.086,0.084,0.086,0.084,0.083,0.084,0.083,0.088,0.082,0.084,0.108,0.097,0.12,0.086,0.117,0.087,0.122,0.125,0.107,0.083,0.083,0.119,0.086,0.107,0.089,0.119,0.106,0.108,0.087,0.122,0.095,0.083,0.082,0.105,0.085,0.12,0.105,0.087,0.096,0.085,0.12,0.106,0.117,0.085,0.083,0.105,0.118,0.117,0.106,0.096,0.105,0.121,0.086,0.085,0.084,0.083,0.084,0.085,0.097,0.085,0.105,0.122,0.087,0.123,0.105,0.119,0.106,0.083,0.083,0.117,0.121,0.105,0.086,0.106,0.121,0.087,0.106,0.098,0.086,0.083,0.084,0.083,0.085,0.084,0.085,0.085,0.084,0.085,0.083,0.085,0.084,0.084
16.5,0.085,0.084,0.085,0.084,0.085,0.084,0.086,0.084,0.083,0.084,0.083,0.088,0.082,0.084,0.107,0.097,0.12,0.086,0.118,0.087,0.123,0.125,0.107,0.083,0.083,0.119,0.086,0.107,0.088,0.119,0.105,0.108,0.087,0.124,0.095,0.083,0.082,0.105,0.085,0.121,0.105,0.086,0.096,0.085,0.12,0.106,0.118,0.085,0.083,0.105,0.118,0.117,0.106,0.096,0.105,0.122,0.086,0.085,0.084,0.082,0.084,0.085,0.097,0.085,0.105,0.123,0.086,0.123,0.105,0.12,0.106,0.083,0.083,0.119,0.121,0.105,0.086,0.106,0.122,0.087,0.106,0.098,0.086,0.083,0.084,0.083,0.084,0.083,0.085,0.085,0.084,0.085,0.083,0.085,0.084,0.084
